DATE,ENUC111830010SA
2006-01-01,367929675.087135
2006-04-01,371017985.18192405
2006-07-01,370536956.637176
2006-10-01,375520675.277089
2007-01-01,388694224.222762
2007-04-01,390725802.456476
2007-07-01,395830289.84220695
2007-10-01,397718117.165406
2008-01-01,410755198.468026
2008-04-01,410488710.186881
2008-07-01,414035164.291589
2008-10-01,415228627.40919197
2009-01-01,410733007.47767097
2009-04-01,410229686.850133
2009-07-01,409054705.544489
2009-10-01,414013982.990657
2010-01-01,398201116.272682
2010-04-01,414500533.735795
2010-07-01,417718868.120746
2010-10-01,428942200.168075
